count,gene,sample,ind,time,region,APA,strained,group,year,dilution factor,no wells,newcounts
3018,rpl19,14,k,AM,CA1,control,fmr1,1,2014,2.5,18,135810
3018,rpl19,14,k,AM,CA1,control,fmr1,1,2014,2.5,18,135810
2677,rpl19,14,k,AM,CA1,control,fmr1,1,2014,2.5,18,120465
2082,rpl19,55,a,AM,CA1,control,fmr1,1,2014,2.5,18,93690
1987,rpl19,55,a,AM,CA1,control,fmr1,1,2014,2.5,18,89415
1968,rpl19,55,a,AM,CA1,control,fmr1,1,2014,2.5,18,88560
5690,rpl19,56,e,AM,CA1,control,fmr1,1,2014,2.5,18,256050
5404,rpl19,56,e,AM,CA1,control,fmr1,1,2014,2.5,18,243180
5391,rpl19,56,e,AM,CA1,control,fmr1,1,2014,2.5,18,242595
182,rpl19,57,g,AM,CA1,control,fmr1,1,2014,2.5,18,8190
180,rpl19,57,g,AM,CA1,control,fmr1,1,2014,2.5,18,8100
162,rpl19,57,g,AM,CA1,control,fmr1,1,2014,2.5,18,7290
1988,rpl19,58,i,AM,CA1,control,fmr1,1,2014,2.5,18,89460
1944,rpl19,58,i,AM,CA1,control,fmr1,1,2014,2.5,18,87480
1898,rpl19,58,i,AM,CA1,control,fmr1,1,2014,2.5,18,85410
3018,rpl19,59,k,AM,CA1,control,fmr1,1,2014,2.5,18,135810
3018,rpl19,59,k,AM,CA1,control,fmr1,1,2014,2.5,18,135810
2677,rpl19,59,k,AM,CA1,control,fmr1,1,2014,2.5,18,120465
1611,rpl19,5,b ,AM,CA1,trained,fmr1,8,2014,2.5,18,72495
1533,rpl19,5,b ,AM,CA1,trained,fmr1,8,2014,2.5,18,68985
1380,rpl19,5,b ,AM,CA1,trained,fmr1,8,2014,2.5,18,62100
21912,rpl19,7,c,AM,CA1,trained,fmr1,8,2014,2.5,18,986040
19612,rpl19,7,c,AM,CA1,trained,fmr1,8,2014,2.5,18,882540
714,rpl19,9,f,AM,CA1,trained,fmr1,8,2014,2.5,18,32130
696,rpl19,9,f,AM,CA1,trained,fmr1,8,2014,2.5,18,31320
642,rpl19,9,f,AM,CA1,trained,fmr1,8,2014,2.5,18,28890
2515,rpl19,11,h,AM,CA1,trained,fmr1,8,2014,2.5,18,113175
