,count,gene,sample,ind,time,region,APA,strained,group,conc,
140,180,grim,12,i,AM,CA1,control,fmr1,1,1.07,168.2242991
141,90,grim,12,i,AM,CA1,control,fmr1,1,1.07,84.11214953
154,108,grim,58,i,AM,CA1,control,fmr1,1,1.07,100.9345794
155,180,grim,58,i,AM,CA1,control,fmr1,1,1.07,168.2242991
156,90,grim,58,i,AM,CA1,control,fmr1,1,1.07,84.11214953
268,35784,rpl19,12,i,AM,CA1,control,fmr1,1,1.07,33442.99065
269,34992,rpl19,12,i,AM,CA1,control,fmr1,1,1.07,32702.80374
270,34164,rpl19,12,i,AM,CA1,control,fmr1,1,1.07,31928.97196
283,35784,rpl19,58,i,AM,CA1,control,fmr1,1,1.07,33442.99065
284,34992,rpl19,58,i,AM,CA1,control,fmr1,1,1.07,32702.80374
285,34164,rpl19,58,i,AM,CA1,control,fmr1,1,1.07,31928.97196
14,108,pkmz,14,k,AM,CA1,control,fmr1,1,1.44,75
15,108,pkmz,14,k,AM,CA1,control,fmr1,1,1.44,75
29,108,pkmz,59,k,AM,CA1,control,fmr1,1,1.44,75
30,108,pkmz,59,k,AM,CA1,control,fmr1,1,1.44,75
142,54,grim,14,k,AM,CA1,control,fmr1,1,1.44,37.5
143,162,grim,14,k,AM,CA1,control,fmr1,1,1.44,112.5
144,108,grim,14,k,AM,CA1,control,fmr1,1,1.44,75
157,54,grim,59,k,AM,CA1,control,fmr1,1,1.44,37.5
158,162,grim,59,k,AM,CA1,control,fmr1,1,1.44,112.5
159,108,grim,59,k,AM,CA1,control,fmr1,1,1.44,75
271,54324,rpl19,14,k,AM,CA1,control,fmr1,1,1.44,37725
272,54324,rpl19,14,k,AM,CA1,control,fmr1,1,1.44,37725
273,48186,rpl19,14,k,AM,CA1,control,fmr1,1,1.44,33462.5
286,54324,rpl19,59,k,AM,CA1,control,fmr1,1,1.44,37725
287,54324,rpl19,59,k,AM,CA1,control,fmr1,1,1.44,37725
288,48186,rpl19,59,k,AM,CA1,control,fmr1,1,1.44,33462.5
37,126,pkmz,9,f,AM,CA1,trained,fmr1,8,1.92,65.625
38,90,pkmz,9,f,AM,CA1,trained,fmr1,8,1.92,46.875
39,36,pkmz,9,f,AM,CA1,trained,fmr1,8,1.92,18.75
52,126,pkmz,63,f,AM,CA1,trained,fmr1,8,1.92,65.625
53,90,pkmz,63,f,AM,CA1,trained,fmr1,8,1.92,46.875
54,36,pkmz,63,f,AM,CA1,trained,fmr1,8,1.92,18.75
166,72,grim,9,f,AM,CA1,trained,fmr1,8,1.92,37.5
167,108,grim,9,f,AM,CA1,trained,fmr1,8,1.92,56.25
168,108,grim,9,f,AM,CA1,trained,fmr1,8,1.92,56.25
181,72,grim,63,f,AM,CA1,trained,fmr1,8,1.92,37.5
182,108,grim,63,f,AM,CA1,trained,fmr1,8,1.92,56.25
183,108,grim,63,f,AM,CA1,trained,fmr1,8,1.92,56.25
295,12852,rpl19,9,f,AM,CA1,trained,fmr1,8,1.92,6693.75
296,12528,rpl19,9,f,AM,CA1,trained,fmr1,8,1.92,6525
297,11556,rpl19,9,f,AM,CA1,trained,fmr1,8,1.92,6018.75
310,12852,rpl19,63,f,AM,CA1,trained,fmr1,8,1.92,6693.75
311,12528,rpl19,63,f,AM,CA1,trained,fmr1,8,1.92,6525
312,11556,rpl19,63,f,AM,CA1,trained,fmr1,8,1.92,6018.75
112,0,pkmz,46,BL1,AM,CA1,trained,wt,5,,
113,0,pkmz,46,BL1,AM,CA1,trained,wt,5,,
114,0,pkmz,46,BL1,AM,CA1,trained,wt,5,,
241,18,grim,46,BL1,AM,CA1,trained,wt,5,,
242,54,grim,46,BL1,AM,CA1,trained,wt,5,,
243,36,grim,46,BL1,AM,CA1,trained,wt,5,,
370,1494,rpl19,46,BL1,AM,CA1,trained,wt,5,,
371,1890,rpl19,46,BL1,AM,CA1,trained,wt,5,,
372,1890,rpl19,46,BL1,AM,CA1,trained,wt,5,,
94,36,pkmz,35,BL11,AM,CA1,trained,wt,5,,
95,54,pkmz,35,BL11,AM,CA1,trained,wt,5,,
96,54,pkmz,35,BL11,AM,CA1,trained,wt,5,,
223,126,grim,35,BL11,AM,CA1,trained,wt,5,,
224,0,grim,35,BL11,AM,CA1,trained,wt,5,,
225,54,grim,35,BL11,AM,CA1,trained,wt,5,,
352,3852,rpl19,35,BL11,AM,CA1,trained,wt,5,,
353,3438,rpl19,35,BL11,AM,CA1,trained,wt,5,,
354,3492,rpl19,35,BL11,AM,CA1,trained,wt,5,,
100,90,pkmz,37,BL2,AM,CA1,trained,wt,5,,
101,72,pkmz,37,BL2,AM,CA1,trained,wt,5,,
102,90,pkmz,37,BL2,AM,CA1,trained,wt,5,,
229,0,grim,37,BL2,AM,CA1,trained,wt,5,,
230,0,grim,37,BL2,AM,CA1,trained,wt,5,,
231,0,grim,37,BL2,AM,CA1,trained,wt,5,,
358,1026,rpl19,37,BL2,AM,CA1,trained,wt,5,,
359,774,rpl19,37,BL2,AM,CA1,trained,wt,5,,
360,1260,rpl19,37,BL2,AM,CA1,trained,wt,5,,
205,18,grim,45,BL8,AM,CA1,control,wt,3,,
206,0,grim,45,BL8,AM,CA1,control,wt,3,,
207,36,grim,45,BL8,AM,CA1,control,wt,3,,
334,90,rpl19,45,BL8,AM,CA1,control,wt,3,,
335,234,rpl19,45,BL8,AM,CA1,control,wt,3,,
336,252,rpl19,45,BL8,AM,CA1,control,wt,3,,
34,468,pkmz,7,c,AM,CA1,trained,fmr1,8,,
35,450,pkmz,7,c,AM,CA1,trained,fmr1,8,,
36,432,pkmz,7,c,AM,CA1,trained,fmr1,8,,
49,468,pkmz,62,c,AM,CA1,trained,fmr1,8,,
50,450,pkmz,62,c,AM,CA1,trained,fmr1,8,,
51,432,pkmz,62,c,AM,CA1,trained,fmr1,8,,
163,414,grim,7,c,AM,CA1,trained,fmr1,8,,
164,468,grim,7,c,AM,CA1,trained,fmr1,8,,
165,432,grim,7,c,AM,CA1,trained,fmr1,8,,
178,414,grim,62,c,AM,CA1,trained,fmr1,8,,
179,468,grim,62,c,AM,CA1,trained,fmr1,8,,
180,432,grim,62,c,AM,CA1,trained,fmr1,8,,
292,394416,rpl19,7,c,AM,CA1,trained,fmr1,8,,
293,353016,rpl19,7,c,AM,CA1,trained,fmr1,8,,
307,394416,rpl19,62,c,AM,CA1,trained,fmr1,8,,
308,353016,rpl19,62,c,AM,CA1,trained,fmr1,8,,
7,0,pkmz,10,g,AM,CA1,control,fmr1,1,,
8,0,pkmz,10,g,AM,CA1,control,fmr1,1,,
9,0,pkmz,10,g,AM,CA1,control,fmr1,1,,
22,0,pkmz,57,g,AM,CA1,control,fmr1,1,,
23,0,pkmz,57,g,AM,CA1,control,fmr1,1,,
24,0,pkmz,57,g,AM,CA1,control,fmr1,1,,
136,0,grim,10,g,AM,CA1,control,fmr1,1,,
137,0,grim,10,g,AM,CA1,control,fmr1,1,,
151,0,grim,57,g,AM,CA1,control,fmr1,1,,
152,0,grim,57,g,AM,CA1,control,fmr1,1,,
265,3276,rpl19,10,g,AM,CA1,control,fmr1,1,,
266,3240,rpl19,10,g,AM,CA1,control,fmr1,1,,
267,2916,rpl19,10,g,AM,CA1,control,fmr1,1,,
280,3276,rpl19,57,g,AM,CA1,control,fmr1,1,,
281,3240,rpl19,57,g,AM,CA1,control,fmr1,1,,
282,2916,rpl19,57,g,AM,CA1,control,fmr1,1,,
